P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.633, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.635, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.637, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.640, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.642, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.644, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.646, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.648, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.650, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.653, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.655, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.657, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.659, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.662, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.664, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.666, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.668, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.671, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.673, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.676, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.678, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.680, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.682, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.685, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.687, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.689, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.692, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.694, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.696, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.699, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.701, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.704, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.706, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.709, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.711, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.713, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.716, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:49.718, (priority): 3, (size): 10
