no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.177, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.180, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.182, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.185, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.187, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.190, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.192, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.195, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.197, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.200, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.212, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.215, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.217, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.220, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.223, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.225, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.228, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.231, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.233, (priority): 2, (size): 100
